Date,Product_Name,Category,Units_Sold,Revenue,Region,Store
2022-01-01,Product E,Toys,207,14023.84,South,Store3
2022-01-01,Product C,Food,114,3582.95,East,Store5
2022-01-01,Product B,Clothing,190,14774.38,South,Store2
2022-01-01,Product D,Books,186,11528.38,West,Store1
2022-01-01,Product A,Electronics,168,10412.97,East,Store2
2022-01-02,Product D,Books,225,13756.22,West,Store1
2022-01-02,Product C,Food,254,14234.14,South,Store4
2022-01-02,Product A,Electronics,275,26743.9,South,Store2
2022-01-02,Product A,Electronics,272,18713.53,West,Store3
2022-01-02,Product A,Electronics,178,7245.03,West,Store4
2022-01-03,Product D,Books,160,5566.14,East,Store2
2022-01-03,Product B,Clothing,149,14025.77,East,Store4
2022-01-03,Product A,Electronics,206,19960.11,North,Store5
2022-01-03,Product B,Clothing,375,36457.66,West,Store4
2022-01-04,Product A,Electronics,217,4611.45,North,Store1
2022-01-04,Product D,Books,233,10130.62,East,Store3
2022-01-04,Product C,Food,310,25327.5,North,Store2
2022-01-04,Product B,Clothing,305,8927.21,East,Store1
2022-01-04,Product D,Books,235,10546.47,West,Store5
2022-01-04,Product C,Food,250,16825.96,South,Store3
2022-01-04,Product C,Food,207,15951.33,North,Store5
2022-01-05,Product C,Food,52,1145.74,North,Store3
2022-01-05,Product A,Electronics,224,10113.26,West,Store4
2022-01-05,Product E,Toys,156,12549.28,West,Store5
2022-01-05,Product C,Food,108,8162.94,West,Store2
2022-01-06,Product D,Books,160,13487.0,West,Store4
2022-01-06,Product C,Food,77,3734.79,South,Store1
2022-01-06,Product A,Electronics,98,3747.01,South,Store1
2022-01-06,Product D,Books,48,1592.28,East,Store1
2022-01-06,Product E,Toys,65,4900.67,South,Store4
2022-01-06,Product C,Food,127,9682.67,North,Store1
2022-01-06,Product B,Clothing,15,1454.94,South,Store2
2022-01-07,Product C,Food,171,11758.84,South,Store4
2022-01-07,Product E,Toys,210,15635.85,North,Store4
2022-01-07,Product B,Clothing,77,7611.61,West,Store4
2022-01-08,Product E,Toys,171,12069.94,South,Store3
2022-01-08,Product A,Electronics,207,15662.66,East,Store4
2022-01-08,Product D,Books,146,10833.95,East,Store2
2022-01-09,Product A,Electronics,210,15807.75,West,Store2
2022-01-09,Product A,Electronics,265,9732.32,East,Store2
2022-01-09,Product C,Food,250,9571.0,West,Store2
2022-01-09,Product A,Electronics,121,12063.74,South,Store4
2022-01-09,Product E,Toys,213,19603.12,East,Store1
2022-01-09,Product A,Electronics,272,24961.12,West,Store1
2022-01-10,Product C,Food,281,13988.92,North,Store3
2022-01-10,Product A,Electronics,328,6692.82,West,Store2
2022-01-10,Product B,Clothing,291,11040.99,North,Store4
2022-01-10,Product A,Electronics,305,18151.01,West,Store4
2022-01-10,Product C,Food,280,7698.31,East,Store5
2022-01-10,Product C,Food,333,30424.12,East,Store3
2022-01-11,Product A,Electronics,312,11113.26,North,Store3
2022-01-11,Product D,Books,242,8268.86,West,Store5
2022-01-11,Product E,Toys,233,21128.33,West,Store1
2022-01-11,Product E,Toys,234,22775.78,East,Store4
2022-01-11,Product A,Electronics,277,7209.67,North,Store5
2022-01-11,Product A,Electronics,193,12457.01,East,Store2
2022-01-12,Product B,Clothing,185,16685.12,North,Store1
2022-01-12,Product A,Electronics,125,9524.84,West,Store5
2022-01-12,Product B,Clothing,208,18588.08,North,Store4
2022-01-12,Product B,Clothing,208,4246.28,West,Store5
2022-01-12,Product D,Books,249,20832.19,West,Store3
2022-01-13,Product B,Clothing,210,4803.83,North,Store2
2022-01-13,Product E,Toys,159,13851.23,South,Store1
2022-01-13,Product D,Books,103,8881.64,West,Store4
2022-01-13,Product D,Books,223,15572.37,West,Store5
2022-01-13,Product D,Books,285,8854.45,West,Store5
2022-01-13,Product B,Clothing,165,10115.16,South,Store3
2022-01-14,Product B,Clothing,207,5439.24,North,Store2
2022-01-14,Product E,Toys,157,11787.56,North,Store2
2022-01-14,Product B,Clothing,124,4031.86,South,Store1
2022-01-14,Product E,Toys,183,12615.59,East,Store3
2022-01-14,Product D,Books,247,16124.9,East,Store5
2022-01-14,Product A,Electronics,130,3579.23,South,Store4
2022-01-15,Product D,Books,189,10805.87,North,Store2
2022-01-15,Product B,Clothing,272,26093.41,West,Store2
2022-01-15,Product D,Books,289,17412.51,North,Store5
2022-01-15,Product E,Toys,145,4790.04,West,Store2
2022-01-15,Product A,Electronics,234,19673.77,West,Store2
2022-01-15,Product C,Food,263,18794.78,North,Store5
2022-01-15,Product C,Food,239,20466.56,West,Store2
2022-01-16,Product D,Books,256,12846.27,North,Store3
2022-01-16,Product B,Clothing,265,19779.74,North,Store2
2022-01-16,Product E,Toys,270,7952.36,North,Store2
2022-01-16,Product E,Toys,342,32466.69,West,Store4
2022-01-16,Product A,Electronics,268,9164.3,North,Store3
2022-01-17,Product C,Food,214,17572.19,West,Store5
2022-01-17,Product D,Books,242,13145.32,North,Store1
2022-01-17,Product C,Food,369,16827.86,East,Store3
2022-01-18,Product D,Books,239,22945.18,West,Store4
2022-01-18,Product C,Food,222,13196.14,West,Store5
2022-01-18,Product E,Toys,202,14907.9,West,Store5
2022-01-19,Product E,Toys,190,14528.64,East,Store4
2022-01-19,Product A,Electronics,257,20796.66,West,Store1
2022-01-19,Product E,Toys,161,6086.78,North,Store2
2022-01-20,Product B,Clothing,223,8620.79,West,Store5
2022-01-20,Product A,Electronics,161,14559.04,North,Store1
2022-01-20,Product E,Toys,187,4989.17,North,Store4
2022-01-20,Product C,Food,288,11490.6,East,Store3
2022-01-20,Product E,Toys,219,5366.43,West,Store5
2022-01-21,Product A,Electronics,132,6866.35,West,Store1
2022-01-21,Product A,Electronics,226,20224.27,South,Store5
2022-01-21,Product B,Clothing,199,5154.84,East,Store3
2022-01-22,Product A,Electronics,351,26556.62,East,Store1
2022-01-22,Product E,Toys,258,19544.53,East,Store1
2022-01-22,Product C,Food,232,16149.66,West,Store2
2022-01-22,Product D,Books,286,20519.89,West,Store2
2022-01-22,Product D,Books,199,19492.37,West,Store3
2022-01-22,Product A,Electronics,245,10383.36,North,Store4
2022-01-23,Product C,Food,266,22823.59,South,Store3
2022-01-23,Product E,Toys,166,15706.63,South,Store3
2022-01-23,Product E,Toys,324,10752.5,West,Store1
2022-01-23,Product A,Electronics,249,12484.64,South,Store1
2022-01-23,Product C,Food,232,20269.73,North,Store1
2022-01-23,Product B,Clothing,249,19918.22,East,Store5
2022-01-23,Product E,Toys,328,25613.41,South,Store2
2022-01-24,Product A,Electronics,217,20902.33,North,Store4
2022-01-24,Product A,Electronics,302,14693.21,West,Store2
2022-01-24,Product B,Clothing,326,20089.62,South,Store3
2022-01-25,Product E,Toys,302,8175.94,East,Store1
2022-01-25,Product A,Electronics,331,25264.03,East,Store4
2022-01-25,Product B,Clothing,368,17681.3,South,Store2
2022-01-25,Product C,Food,312,19904.26,North,Store4
2022-01-25,Product B,Clothing,276,24560.99,North,Store5
2022-01-25,Product D,Books,360,29344.83,West,Store5
2022-01-26,Product E,Toys,160,10619.52,East,Store3
2022-01-26,Product A,Electronics,188,10680.19,West,Store3
2022-01-26,Product D,Books,192,17614.67,East,Store3
2022-01-26,Product E,Toys,165,16145.06,North,Store2
2022-01-27,Product D,Books,189,9036.0,South,Store5
2022-01-27,Product A,Electronics,108,9886.04,North,Store2
2022-01-27,Product E,Toys,241,11020.12,South,Store1
2022-01-27,Product A,Electronics,221,7195.37,West,Store5
2022-01-28,Product B,Clothing,276,17367.92,West,Store2
2022-01-28,Product D,Books,269,13319.02,West,Store2
2022-01-28,Product E,Toys,287,25128.36,East,Store4
2022-01-29,Product B,Clothing,301,11858.69,North,Store5
2022-01-29,Product D,Books,102,2203.78,North,Store1
2022-01-29,Product B,Clothing,147,6972.82,North,Store4
2022-01-29,Product B,Clothing,235,19536.42,North,Store2
2022-01-29,Product D,Books,344,27394.49,North,Store4
2022-01-29,Product C,Food,276,13883.3,North,Store4
2022-01-29,Product B,Clothing,154,9218.41,South,Store5
2022-01-30,Product A,Electronics,297,26155.42,South,Store1
2022-01-30,Product C,Food,193,11958.46,West,Store5
2022-01-30,Product D,Books,347,7087.13,South,Store1
2022-01-31,Product A,Electronics,319,18543.33,North,Store4
2022-01-31,Product E,Toys,394,13775.62,South,Store4
2022-01-31,Product C,Food,337,21024.49,North,Store2
2022-01-31,Product E,Toys,264,15968.92,East,Store4
2022-01-31,Product E,Toys,272,12764.51,South,Store5
2022-02-01,Product D,Books,308,8325.07,East,Store5
2022-02-01,Product A,Electronics,226,18264.92,East,Store3
2022-02-01,Product A,Electronics,299,15751.76,North,Store3
2022-02-01,Product A,Electronics,309,11247.64,East,Store3
2022-02-02,Product E,Toys,257,8013.72,North,Store5
2022-02-02,Product D,Books,223,18992.01,East,Store2
2022-02-02,Product D,Books,223,10100.95,South,Store1
2022-02-02,Product B,Clothing,226,11335.16,East,Store5
2022-02-02,Product A,Electronics,304,24261.86,East,Store1
2022-02-02,Product A,Electronics,178,11133.65,North,Store3
2022-02-03,Product C,Food,86,2678.19,East,Store5
2022-02-03,Product A,Electronics,217,13600.88,East,Store3
2022-02-03,Product D,Books,208,6541.65,West,Store2
2022-02-03,Product B,Clothing,195,11606.11,South,Store1
2022-02-03,Product E,Toys,146,12232.41,North,Store5
2022-02-04,Product D,Books,256,19787.35,East,Store5
2022-02-04,Product D,Books,290,10013.07,South,Store2
2022-02-04,Product C,Food,204,12336.1,North,Store1
2022-02-04,Product D,Books,133,8969.13,West,Store4
2022-02-04,Product D,Books,250,12488.71,North,Store3
2022-02-04,Product E,Toys,223,6319.77,North,Store3
2022-02-05,Product B,Clothing,224,19513.05,South,Store1
2022-02-05,Product A,Electronics,233,15681.37,North,Store1
2022-02-05,Product E,Toys,285,13342.5,West,Store1
2022-02-05,Product E,Toys,184,9781.51,South,Store3
2022-02-05,Product B,Clothing,242,13855.95,East,Store2
2022-02-05,Product C,Food,155,8710.25,East,Store1
2022-02-05,Product D,Books,217,11612.55,West,Store1
2022-02-06,Product D,Books,240,8883.47,North,Store1
2022-02-06,Product D,Books,447,39716.2,East,Store5
2022-02-06,Product A,Electronics,251,11035.89,West,Store5
2022-02-06,Product C,Food,343,12489.03,North,Store1
2022-02-07,Product E,Toys,436,11011.92,South,Store3
2022-02-07,Product B,Clothing,252,15611.71,West,Store1
2022-02-07,Product B,Clothing,387,10928.31,West,Store5
2022-02-07,Product C,Food,306,15258.61,South,Store3
2022-02-07,Product B,Clothing,289,9390.25,South,Store5
2022-02-07,Product A,Electronics,304,19497.89,East,Store3
2022-02-07,Product E,Toys,222,14553.32,East,Store1
2022-02-08,Product B,Clothing,379,36767.53,West,Store5
2022-02-08,Product E,Toys,337,17696.34,East,Store2
2022-02-08,Product B,Clothing,233,21299.4,East,Store5
2022-02-08,Product D,Books,404,18935.18,East,Store2
2022-02-08,Product C,Food,238,16643.8,South,Store1
2022-02-08,Product B,Clothing,346,30754.36,East,Store4
2022-02-09,Product A,Electronics,200,11756.45,North,Store1
2022-02-09,Product B,Clothing,181,5637.88,East,Store4
2022-02-09,Product B,Clothing,286,17747.79,North,Store2
2022-02-09,Product E,Toys,259,10858.42,North,Store5
2022-02-09,Product A,Electronics,200,11959.44,West,Store5
2022-02-10,Product E,Toys,345,11740.25,North,Store1
2022-02-10,Product B,Clothing,337,18118.09,South,Store4
2022-02-10,Product C,Food,242,8409.42,North,Store4
2022-02-11,Product A,Electronics,283,21995.5,West,Store3
2022-02-11,Product B,Clothing,249,7669.23,West,Store1
2022-02-11,Product B,Clothing,217,4881.34,West,Store3
2022-02-11,Product C,Food,234,22562.02,East,Store2
2022-02-11,Product A,Electronics,234,19111.48,North,Store1
2022-02-11,Product A,Electronics,170,12986.99,West,Store2
2022-02-12,Product C,Food,241,18213.75,South,Store2
2022-02-12,Product D,Books,243,11877.33,West,Store3
2022-02-12,Product C,Food,227,6114.57,West,Store3
2022-02-13,Product A,Electronics,433,38076.14,North,Store2
2022-02-13,Product A,Electronics,422,30271.41,East,Store2
2022-02-13,Product A,Electronics,390,13433.95,North,Store2
2022-02-13,Product E,Toys,379,29744.64,East,Store2
2022-02-13,Product C,Food,367,32649.57,East,Store3
2022-02-13,Product B,Clothing,403,24903.29,East,Store1
2022-02-13,Product C,Food,326,29600.76,East,Store2
2022-02-14,Product A,Electronics,506,39988.4,North,Store5
2022-02-14,Product B,Clothing,428,38577.02,South,Store3
2022-02-14,Product B,Clothing,382,36139.95,East,Store4
2022-02-14,Product E,Toys,344,27993.02,North,Store5
2022-02-14,Product D,Books,450,44427.0,South,Store1
2022-02-14,Product D,Books,419,33103.76,South,Store1
2022-02-15,Product D,Books,246,19002.09,North,Store1
2022-02-15,Product A,Electronics,274,8207.67,East,Store2
2022-02-15,Product E,Toys,242,20063.64,East,Store4
2022-02-15,Product C,Food,282,14699.65,North,Store5
2022-02-16,Product E,Toys,234,22600.1,West,Store5
2022-02-16,Product E,Toys,250,17595.56,East,Store1
2022-02-16,Product A,Electronics,237,19116.2,South,Store1
2022-02-16,Product C,Food,197,16797.53,South,Store5
2022-02-16,Product E,Toys,373,24769.77,South,Store3
2022-02-17,Product C,Food,247,5816.88,South,Store4
2022-02-17,Product B,Clothing,168,14239.9,West,Store1
2022-02-17,Product E,Toys,211,8484.72,South,Store3
2022-02-18,Product B,Clothing,296,8512.22,West,Store5
2022-02-18,Product E,Toys,270,23786.07,West,Store5
2022-02-18,Product E,Toys,276,20139.43,West,Store3
2022-02-18,Product E,Toys,311,12863.66,South,Store3
2022-02-18,Product D,Books,309,23421.49,South,Store4
2022-02-18,Product C,Food,293,23503.68,East,Store5
2022-02-18,Product C,Food,266,24026.64,South,Store2
2022-02-19,Product E,Toys,261,22299.15,South,Store5
2022-02-19,Product E,Toys,321,13063.12,South,Store5
2022-02-19,Product C,Food,297,12112.93,West,Store5
2022-02-19,Product C,Food,300,9082.77,East,Store2
2022-02-19,Product A,Electronics,291,20547.44,South,Store5
2022-02-20,Product D,Books,354,33907.48,West,Store1
2022-02-20,Product D,Books,297,7540.25,South,Store1
2022-02-20,Product B,Clothing,429,28979.67,West,Store5
2022-02-20,Product C,Food,291,24944.82,East,Store3
2022-02-20,Product C,Food,300,12567.04,North,Store4
2022-02-20,Product A,Electronics,422,11890.06,North,Store5
2022-02-20,Product E,Toys,369,30193.73,West,Store3
2022-02-21,Product C,Food,348,18645.21,East,Store4
2022-02-21,Product C,Food,310,13000.54,East,Store3
2022-02-21,Product A,Electronics,374,29795.44,East,Store1
2022-02-21,Product A,Electronics,269,20765.17,South,Store4
2022-02-21,Product C,Food,333,27197.36,South,Store2
2022-02-22,Product C,Food,286,26582.81,South,Store3
2022-02-22,Product D,Books,365,30558.89,North,Store1
2022-02-22,Product D,Books,336,12782.52,West,Store5
2022-02-22,Product E,Toys,239,16065.85,West,Store3
2022-02-22,Product E,Toys,312,23224.2,South,Store3
2022-02-22,Product E,Toys,259,20866.27,West,Store1
2022-02-23,Product A,Electronics,233,6576.05,South,Store4
2022-02-23,Product D,Books,321,30590.98,North,Store2
2022-02-23,Product A,Electronics,228,6162.68,North,Store1
2022-02-24,Product B,Clothing,276,20743.39,South,Store2
2022-02-24,Product B,Clothing,292,6577.85,South,Store1
2022-02-24,Product A,Electronics,268,20562.26,West,Store2
2022-02-24,Product D,Books,193,16440.9,East,Store3
2022-02-25,Product D,Books,347,20289.89,East,Store1
2022-02-25,Product D,Books,303,23793.73,East,Store2
2022-02-25,Product D,Books,247,22166.44,South,Store3
2022-02-25,Product D,Books,256,20362.84,North,Store5
2022-02-25,Product C,Food,214,13567.23,East,Store3
2022-02-25,Product D,Books,340,12227.55,East,Store5
2022-02-26,Product B,Clothing,196,15565.64,West,Store5
2022-02-26,Product D,Books,323,19505.19,South,Store1
2022-02-26,Product C,Food,318,21081.5,West,Store2
2022-02-26,Product E,Toys,358,24278.8,West,Store2
2022-02-26,Product C,Food,202,13612.38,South,Store5
2022-02-26,Product D,Books,246,21372.44,North,Store3
2022-02-26,Product B,Clothing,165,12748.89,West,Store2
2022-02-27,Product A,Electronics,323,12848.45,West,Store5
2022-02-27,Product A,Electronics,303,21867.47,North,Store1
2022-02-27,Product D,Books,351,14268.39,North,Store5
2022-02-27,Product A,Electronics,314,30641.9,East,Store3
2022-02-27,Product B,Clothing,354,9161.43,South,Store2
2022-02-27,Product E,Toys,387,21080.28,West,Store3
2022-02-27,Product D,Books,312,23881.16,West,Store4
2022-02-28,Product D,Books,300,17391.14,North,Store4
2022-02-28,Product D,Books,389,24581.87,West,Store2
2022-02-28,Product B,Clothing,435,12979.38,North,Store4
2022-02-28,Product B,Clothing,417,18886.97,North,Store3
2022-02-28,Product D,Books,376,11982.16,North,Store2
2022-02-28,Product C,Food,426,24017.53,East,Store3
2022-02-28,Product B,Clothing,398,18870.09,South,Store4
